date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:34:01	110683/110683	---M--	200	added ('OK')	image/jpeg	etag:%22049a662926ad21:0%22	http://www.autbank.com.br/wp-content/uploads/2016/11/main-spb-gestaocontratos.jpg	C:/Users/user/Documents/clone-autbank/www.autbank.com.br/wp-content/uploads/2016/11/main-spb-gestaocontratos.jpg	(from http://www.autbank.com.br/solucoes/spb-e-financeiros/index.html)
08:34:02	50234/50234	---MC-	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/user/Documents/clone-autbank/www.google-analytics.com/analytics.js	(from https://cdn.cookielaw.org/consent/4528aece-e0d6-41e5-a351-00f60c07689d/OtAutoBlock.js)
08:34:04	121322/121322	---M--	200	added ('OK')	image/jpeg	etag:%22076d763926ad21:0%22	http://www.autbank.com.br/wp-content/uploads/2016/11/main-spb-mensageria.jpg	C:/Users/user/Documents/clone-autbank/www.autbank.com.br/wp-content/uploads/2016/11/main-spb-mensageria.jpg	(from http://www.autbank.com.br/solucoes/spb-e-financeiros/index.html)
08:34:04	0/0	---M--	200	added ('OK')	application/javascript	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://try.abtasty.com/82670607f96b5c94cd6b17c92208ea3a.js	C:/Users/user/Documents/clone-autbank/try.abtasty.com/82670607f96b5c94cd6b17c92208ea3a.10c.delayed	(from https://cdn.cookielaw.org/consent/4528aece-e0d6-41e5-a351-00f60c07689d/OtAutoBlock.js)
08:34:05	0/0	---M--	200	added ('OK')	text/javascript	date:Mon,%2010%20Apr%202023%2011:34:04%20GMT	https://cdn.privacytools.com.br/public_api/banner/script/bottom/xzzn613181.js	C:/Users/user/Documents/clone-autbank/cdn.privacytools.com.br/public_api/banner/script/bottom/xzzn613181.10d.delayed	(from https://cdn.cookielaw.org/consent/4528aece-e0d6-41e5-a351-00f60c07689d/OtAutoBlock.js)
08:34:05	5182/5182	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2010%20Apr%202023%2011:34:04%20GMT	https://app.getbeamer.com/js/beamer-embed.js	C:/Users/user/Documents/clone-autbank/app.getbeamer.com/js/beamer-embed.10e.delayed	(from https://cdn.cookielaw.org/consent/4528aece-e0d6-41e5-a351-00f60c07689d/OtAutoBlock.js)
08:34:05	66687/66687	---MCZ	200	added ('OK')	text/javascript	etag:W/%22558bcc8ccccf4b46d8396882b57f76aa%22	https://js.hs-analytics.net/analytics/1652394000000/3299491.js	C:/Users/user/Documents/clone-autbank/js.hs-analytics.net/analytics/1652394000000/3299491.js	(from https://cdn.cookielaw.org/consent/4528aece-e0d6-41e5-a351-00f60c07689d/OtAutoBlock.js)
08:34:06	563/563	---M--	404	error ('Not%20Found')	text/html	date:2023-04-10%2011:34:05.692020847%20+0000%20UTC	https://web-socket-destaca.herokuapp.com/socket.io/socket.io.js	C:/Users/user/Documents/clone-autbank/web-socket-destaca.herokuapp.com/socket.io/socket.io.110.delayed	(from https://cdn.cookielaw.org/consent/4528aece-e0d6-41e5-a351-00f60c07689d/OtAutoBlock.js)
08:34:06	66687/66687	---MCZ	200	added ('OK')	text/javascript	etag:W/%22558bcc8ccccf4b46d8396882b57f76aa%22	https://js.hs-analytics.net/analytics/1652388900000/3299491.js	C:/Users/user/Documents/clone-autbank/js.hs-analytics.net/analytics/1652388900000/3299491.js	(from https://cdn.cookielaw.org/consent/4528aece-e0d6-41e5-a351-00f60c07689d/OtAutoBlock.js)
08:34:07	61448/61448	---MCZ	200	added ('OK')	text/javascript	etag:W/%22d32f0ea8c15994796ef48190a0a9c257%22	https://js.hs-banner.com/3299491.js	C:/Users/user/Documents/clone-autbank/js.hs-banner.com/3299491.js	(from https://cdn.cookielaw.org/consent/4528aece-e0d6-41e5-a351-00f60c07689d/OtAutoBlock.js)
08:34:07	606036/606036	---M-Z	200	added ('OK')	application/javascript	etag:%22f61f2c1dff006619280071395dc205f0%22	https://plugin.handtalk.me/web/latest/handtalk.min.js	C:/Users/user/Documents/clone-autbank/plugin.handtalk.me/web/latest/handtalk.min.js	(from https://autbank.gupy.io/candidates)
08:34:08	8463/8463	---M--	200	added ('OK')	image/png	etag:%2279577dd250a88e402d530a25a8702ce7%22	https://autbank.gupy.io/companies/images/new-favicon/apple-touch-icon.png?v=2	C:/Users/user/Documents/clone-autbank/autbank.gupy.io/companies/images/new-favicon/apple-touch-icon5e1f.png	(from https://autbank.gupy.io/candidates)
